rhel.imac.local;-1;2019-06-05 13:17:27 UTC;LINUX-RESTART	(3 CPU)
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
rhel.imac.local;600;2019-06-05 13:35:01 UTC;-1;12.40;0.00;2.22;0.19;0.00;85.19
rhel.imac.local;600;2019-06-05 13:45:02 UTC;-1;16.11;0.00;1.41;0.03;0.00;82.45
rhel.imac.local;599;2019-06-05 13:55:01 UTC;-1;7.38;0.00;0.98;0.03;0.00;91.61
rhel.imac.local;600;2019-06-05 14:05:01 UTC;-1;7.63;0.00;0.57;0.02;0.00;91.78
